date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,snow_depth_max
1940-01-01,-19.7,-28.9,,-24.8,-34.6,,,,,0.0,11.2,16.9,,,,24543.56,,
1940-01-02,-9.8,-20.4,-16.8,-17.5,-25.3,-23.0,1.3,0.0,0.91,7.0,29.8,58.0,211,1.43,0.13,24637.43,4720.83,
1940-01-03,-5.5,-8.8,-7.1,-10.5,-16.4,-12.9,2.3,0.0,1.68,11.0,28.7,56.2,225,1.22,0.19,24738.84,3072.5,
1940-01-04,-6.0,-13.1,-9.4,-11.0,-19.3,-15.2,0.0,0.0,0.0,0.0,19.2,34.9,304,1.82,0.19,24847.62,18287.68,
1940-01-05,-13.4,-21.3,-16.4,-18.2,-26.1,-21.4,0.5,0.0,0.35,5.0,15.0,28.4,263,1.22,0.08,24963.57,0.0,
1940-01-06,-15.6,-23.8,-19.6,-20.8,-28.5,-24.5,0.0,0.0,0.0,0.0,10.4,19.8,63,1.76,0.05,25086.5,16874.5,
1940-01-07,-23.5,-29.8,-27.5,-28.3,-34.5,-32.2,0.0,0.0,0.0,0.0,7.6,10.8,152,2.16,0.04,25216.22,22860.38,
1940-01-08,-21.3,-29.0,-24.6,-26.1,-34.1,-29.6,0.0,0.0,0.0,0.0,8.6,12.6,186,1.9,0.05,25352.53,18525.09,
1940-01-09,-19.5,-22.2,-21.1,-24.0,-26.8,-25.8,0.0,0.0,0.0,0.0,10.0,18.0,203,1.8,0.06,25495.4,18395.73,
1940-01-10,-12.8,-21.4,-16.8,-19.0,-26.9,-22.6,0.1,0.0,0.07,1.0,17.7,33.8,228,1.69,0.13,25646.38,12227.3,
1940-01-11,-4.8,-15.9,-11.8,-11.4,-22.2,-18.2,0.7,0.0,0.49,7.0,24.3,47.5,241,1.18,0.19,25805.53,0.0,
1940-01-12,0.8,-6.4,-1.8,-4.9,-13.4,-8.0,3.6,0.0,2.52,13.0,27.9,54.4,282,0.87,0.27,25972.41,967.17,
1940-01-13,0.9,-2.3,-0.7,-3.8,-6.6,-5.4,0.4,0.1,0.21,4.0,22.7,42.1,304,1.11,0.11,26146.6,1977.47,
1940-01-14,1.1,-1.3,-0.2,-3.9,-6.8,-5.7,0.4,0.0,0.28,4.0,22.8,49.0,291,1.86,0.23,26327.69,16486.91,
1940-01-15,-1.7,-31.4,-14.4,-7.2,-37.2,-20.1,0.6,0.0,0.42,6.0,19.4,39.2,6,1.86,0.13,26515.26,13498.76,
1940-01-16,-30.5,-37.7,-33.9,-36.0,-42.9,-39.5,0.0,0.0,0.0,0.0,12.0,22.7,285,2.79,0.05,26708.91,25056.32,
1940-01-17,-20.2,-32.9,-27.9,-26.6,-38.0,-33.5,0.0,0.0,0.0,0.0,17.3,32.4,215,2.51,0.07,26908.23,24030.85,
1940-01-18,-19.9,-25.4,-23.1,-26.3,-30.4,-28.3,0.0,0.0,0.0,0.0,17.2,31.7,190,2.43,0.09,27112.85,24709.71,
1940-01-19,-21.2,-30.2,-25.5,-27.1,-35.1,-30.4,0.0,0.0,0.0,0.0,13.2,24.5,74,2.72,0.07,27322.38,23737.62,
1940-01-20,-13.9,-21.7,-17.5,-20.5,-28.0,-24.4,3.5,0.0,2.45,14.0,24.4,50.4,69,0.72,0.22,27536.45,0.0,
1940-01-21,-12.5,-15.4,-13.8,-18.0,-22.0,-20.1,3.3,0.0,2.31,18.0,21.5,38.5,75,1.21,0.19,27754.72,0.0,
1940-01-22,-5.7,-12.2,-7.9,-11.4,-17.6,-14.2,0.8,0.0,0.56,6.0,25.3,47.9,104,1.29,0.24,27976.84,0.0,
1940-01-23,-5.9,-18.4,-13.7,-11.2,-23.7,-19.2,1.3,0.0,0.91,5.0,22.0,42.8,156,3.2,0.2,28202.46,23472.14,
1940-01-24,-6.5,-10.7,-9.3,-12.2,-17.2,-15.6,2.2,0.0,1.54,6.0,22.5,43.6,193,2.42,0.24,28431.25,14587.62,
1940-01-25,-6.5,-10.7,-8.9,-12.3,-16.1,-14.4,0.0,0.0,0.0,0.0,18.2,34.9,222,2.96,0.19,28662.92,22360.65,
1940-01-26,-7.5,-11.2,-8.7,-11.7,-16.2,-13.3,0.0,0.0,0.0,0.0,14.8,27.7,165,1.79,0.12,28897.15,0.0,
1940-01-27,-8.7,-11.2,-9.8,-13.7,-16.3,-15.0,4.4,0.0,3.08,23.0,15.3,32.0,101,1.0,0.17,29133.63,0.0,
1940-01-28,-10.3,-12.1,-11.3,-15.4,-17.6,-16.5,0.2,0.0,0.14,2.0,15.6,29.9,74,2.0,0.16,29372.11,1252.01,
1940-01-29,-12.3,-18.1,-13.8,-17.9,-23.2,-19.5,0.0,0.0,0.0,0.0,17.3,35.3,59,3.02,0.19,29612.54,15255.11,
1940-01-30,-15.2,-18.8,-17.6,-19.6,-24.2,-22.5,0.0,0.0,0.0,0.0,11.0,16.9,54,3.13,0.11,29857.34,19974.51,
