country_code,country,year,overweight_pct,alcohol_liters_pc,gdp_per_capita_usd,gdp_growth_pct,unemployment_pct,inflation_pct,gini_index,trade_pct_gdp,education_expenditure_pct_gdp,govt_debt_pct_gdp,recession_flag,crisis_score,gdp_growth_lag1,gdp_growth_lag2,tertiary_attainment_pct,low_education_pct,physical_inactivity_pct,sunny_days,food_total_kcal,food_cereals_kcal,food_sugar_kcal,food_meat_kcal,food_dairy_kcal,food_fish_kcal,food_vegetables_kcal,food_fruits_kcal,food_vegoils_kcal,food_alcohol_kcal,prod_sugar_cane_t,prod_sugar_beet_t,prod_raw_sugar_t,prod_beef_t,prod_pork_t,prod_poultry_t,prod_meat_total_t,prod_wine_t,prod_beer_t,prod_cattle_fat_t,prod_pig_fat_t,prod_lard_t,prod_butter_t,prod_raw_milk_t,prod_tobacco_t,prod_sugar_cane_kg_pc,prod_sugar_beet_kg_pc,prod_raw_sugar_kg_pc,prod_beef_kg_pc,prod_pork_kg_pc,prod_poultry_kg_pc,prod_meat_total_kg_pc,prod_wine_kg_pc,prod_beer_kg_pc,prod_cattle_fat_kg_pc,prod_pig_fat_kg_pc,prod_lard_kg_pc,prod_butter_kg_pc,prod_raw_milk_kg_pc,prod_tobacco_kg_pc,total_all_causes,cardiovascular,ischaemic_heart,stroke,all_cancers,colorectal_cancer,lung_cancer,diabetes,liver_cirrhosis,alcohol_disorders,respiratory,suicide,smoking_pct,healthcare_exp_pct,urbanization_pct
AT,Austria,1994,41.02,13.74,32780.342,2.402,3.535,2.953,30.8,66.247,5.09,67.2,0,0,0.527,2.094,12.05,17.56,38.63,140,3557.0,725.0,,10.83,96.63,4.18,40.87,23.01,28.0,252.0,,2560583.0,438000.0,211870.0,472562.0,82851.0,799479.0,264664.0,972975.0,16789.7,25086.6,63695.0,42518.0,3278429.0,353.0,,322.6493,55.1907,26.6969,59.5457,10.4397,100.7393,33.3493,122.6009,2.1156,3.1611,8.026,5.3575,413.1024,0.0445,,748.1,284.5,174.9,311.8,44.8,51.1,27.2,32.1,2.5,60.8,24.4,62.22,8.745000000000001,65.59
AT,Austria,1995,41.33,13.61,33603.428,2.668,4.345,2.243,29.9,68.525,5.45,67.16,0,0,2.402,0.527,12.67,18.32,38.09,120,3510.0,786.0,,1.37,99.42,1.49,37.95,13.6,26.0,253.0,,2885807.0,481000.0,195880.0,457420.0,81503.0,764849.0,222897.0,934352.0,15522.6,24282.8,66000.0,40724.0,2948170.0,263.0,,363.0732,60.5163,24.6443,57.5496,10.2542,96.2283,28.0434,117.554,1.953,3.0551,8.3037,5.1236,370.9193,0.0331,,748.5,288.1,170.6,310.1,43.9,50.2,29.9,31.8,3.7,58.5,24.3,60.6,8.852500000000001,65.86
AT,Austria,1996,41.65,13.47,34301.656,2.216,5.282,1.861,29.3,70.469,5.289,67.12,0,0,2.668,2.402,13.29,19.08,37.56,126,3551.0,830.0,,3.33,97.84,1.91,33.77,9.06,26.0,246.0,,3131307.0,535000.0,222350.0,472194.0,82492.0,805669.0,211033.0,930757.0,17620.2,25067.1,66000.0,41561.0,2956591.0,188.8,,393.4289,67.2194,27.9369,59.3282,10.3646,101.2272,26.515,116.9437,2.2139,3.1495,8.2925,5.2219,371.4769,0.0237,,745.5,283.7,177.5,301.7,43.5,50.9,27.8,31.5,4.2,59.4,24.5,58.980000000000004,8.96,66.11
AT,Austria,1997,41.96,13.34,34998.032,2.146,5.15,1.306,29.1,75.244,5.71,67.08,0,0,2.216,2.668,13.91,19.84,37.02,148,3494.0,738.0,,7.34,102.01,1.7,32.79,13.83,25.0,256.0,,3011921.0,529000.0,206021.0,474681.0,87505.0,796518.0,180193.0,935895.0,16326.2,25199.1,65000.0,41849.0,3015009.0,227.0,,378.0002,66.3902,25.8559,59.5731,10.982,99.9641,22.6145,117.4561,2.049,3.1625,8.1576,5.2521,378.3877,0.0285,,726.1,284.6,171.0,300.1,42.0,50.9,26.8,29.4,3.8,59.9,21.4,57.36,9.0675,66.33
AT,Austria,1998,42.27,13.2,36180.749,3.493,5.483,0.922,31.3,77.35,6.137,67.04,0,0,2.146,2.216,14.53,20.6,36.48,138,3608.0,910.0,,8.29,101.86,1.54,37.47,7.65,29.0,255.0,,3314143.0,533000.0,196882.0,499553.0,89378.0,815835.0,270317.0,920100.0,15602.0,26519.5,66000.0,42417.0,3042623.0,234.1,,415.4733,66.8189,24.6819,62.6258,11.2048,102.2761,33.8879,115.3472,1.9559,3.3246,8.274,5.3176,381.4346,0.0293,,712.5,289.2,162.4,294.3,40.6,51.3,23.1,28.2,4.0,59.1,21.2,55.74,9.175,66.51
AT,Austria,1999,42.58,13.07,37468.87,3.762,4.699,0.569,29.7,78.563,6.136,67.0,0,0,3.493,2.146,15.15,21.36,35.94,140,3673.0,902.0,,10.47,95.96,1.6,37.59,9.99,35.0,268.0,,3216731.0,545000.0,203333.0,519568.0,88406.0,843195.0,280338.0,925815.0,16113.2,27582.0,67300.0,36835.0,3131892.0,226.5,,402.4776,68.1904,25.441,65.0084,11.0614,105.5006,35.0759,115.838,2.0161,3.4511,8.4206,4.6088,391.8625,0.0283,,696.3,280.5,156.2,291.0,41.6,49.5,24.5,25.6,3.9,66.6,21.0,54.12,9.2825,66.66
AT,Austria,2000,42.88,12.89,38571.086,3.19,4.687,2.345,29.0,85.843,5.62,66.6,0,0,3.762,3.493,15.9,22.12,35.39,142,3726.0,938.0,,13.11,97.9,1.27,38.83,8.14,35.0,265.0,,2633532.0,447000.0,203489.0,505385.0,87052.0,835352.0,233841.0,877137.0,16125.5,26829.1,66100.0,37129.0,3233156.0,321.8,,328.7163,55.7943,25.3994,63.0819,10.8658,104.2683,29.1879,109.4838,2.0128,3.3488,8.2506,4.6344,403.5611,0.0402,,653.7,261.5,145.4,287.8,39.8,49.0,22.2,26.2,3.9,66.1,21.2,52.5,9.39,66.77
AT,Austria,2001,43.16,12.89,38929.754,1.317,4.007,2.65,29.17,87.996,5.605,67.2,0,0,3.19,3.762,16.1,22.88,34.89,119,3728.0,933.0,,14.0,104.61,1.08,37.97,11.49,37.0,259.0,,2773478.0,460000.0,215240.0,488675.0,87722.0,832034.0,253058.0,890933.0,17056.8,25942.0,66000.0,36936.0,3299567.0,284.3,,344.8616,57.1976,26.7635,60.7631,10.9076,103.4573,31.4659,110.781,2.1209,3.2257,8.2066,4.5927,410.2769,0.0354,,619.2,249.0,131.9,279.6,37.6,47.4,23.0,25.1,4.4,62.4,19.6,50.88,9.45,66.84
AT,Austria,2002,43.43,12.63,39313.723,1.484,4.852,1.81,29.33,87.584,5.563,67.4,0,0,1.317,3.19,17.2,23.64,34.35,143,3652.0,922.0,,11.83,96.05,3.0,34.21,9.14,40.0,259.0,,3043398.0,455800.0,211855.0,512129.0,87305.0,850636.0,259908.0,905356.0,16788.5,27187.1,66300.0,33291.0,3292203.0,328.3,,376.567,56.3972,26.2133,63.367,10.8025,105.2512,32.159,112.0219,2.0773,3.3639,8.2035,4.1192,407.3522,0.0406,,596.6,260.9,131.4,277.3,37.8,49.9,31.3,23.1,3.8,65.2,20.4,49.26,9.59,66.89
AT,Austria,2003,43.67,12.53,39569.289,1.142,4.779,1.356,29.5,86.882,5.393,66.4,0,0,1.484,1.317,17.6,24.4,33.78,154,3609.0,936.0,,13.32,101.78,4.13,39.43,9.08,40.0,260.0,,2485386.0,386213.0,207737.0,517569.0,88404.0,853484.0,252989.0,904556.0,16462.2,27475.9,67100.0,33185.0,3229885.0,332.0,,306.0284,47.5548,25.5789,63.7289,10.8853,105.0905,31.1508,111.379,2.027,3.3831,8.2621,4.0861,397.6994,0.0409,,570.0,253.5,120.5,283.2,38.6,47.7,46.4,23.6,4.9,82.2,19.0,47.64,9.7,66.93
