country_code,country,year,total_all_causes,cardiovascular,ischaemic_heart,stroke,all_cancers,colorectal_cancer,lung_cancer,diabetes,liver_cirrhosis,alcohol_disorders,respiratory,suicide
AT,Austria,1994,,748.1,284.5,174.9,311.8,44.8,51.1,27.2,32.1,2.5,60.8,
AT,Austria,1995,,748.5,288.1,170.6,310.1,43.9,50.2,29.9,31.8,3.7,58.5,
AT,Austria,1996,,745.5,283.7,177.5,301.7,43.5,50.9,27.8,31.5,4.2,59.4,
AT,Austria,1997,,726.1,284.6,171.0,300.1,42.0,50.9,26.8,29.4,3.8,59.9,
AT,Austria,1998,,712.5,289.2,162.4,294.3,40.6,51.3,23.1,28.2,4.0,59.1,
AT,Austria,1999,,696.3,280.5,156.2,291.0,41.6,49.5,24.5,25.6,3.9,66.6,
AT,Austria,2000,,653.7,261.5,145.4,287.8,39.8,49.0,22.2,26.2,3.9,66.1,
AT,Austria,2001,,619.2,249.0,131.9,279.6,37.6,47.4,23.0,25.1,4.4,62.4,
AT,Austria,2002,,596.6,260.9,131.4,277.3,37.8,49.9,31.3,23.1,3.8,65.2,
AT,Austria,2003,,570.0,253.5,120.5,283.2,38.6,47.7,46.4,23.6,4.9,82.2,
AT,Austria,2004,,524.1,237.9,90.2,279.5,35.3,48.0,56.7,22.6,5.1,70.3,
AT,Austria,2005,,507.2,230.1,85.5,272.0,34.8,46.8,54.9,21.6,4.3,71.3,
AT,Austria,2006,,485.0,221.6,83.1,266.1,33.3,47.1,52.7,19.3,4.5,65.0,
AT,Austria,2007,,471.9,215.4,77.6,259.8,30.6,46.5,43.9,20.6,4.9,64.8,
AT,Austria,2008,,448.1,199.9,74.0,266.1,30.4,48.0,46.7,18.1,5.4,56.8,
AT,Austria,2009,,447.1,199.6,69.6,258.8,28.4,46.6,44.1,19.6,6.2,56.4,
AT,Austria,2010,,433.2,195.0,67.0,255.5,28.0,47.1,39.5,18.4,5.3,55.1,
AT,Austria,2011,998.52,440.49,195.15,65.81,256.52,28.18,45.95,38.44,17.11,5.31,53.98,
AT,Austria,2012,1019.29,453.45,199.16,68.49,255.86,27.34,46.15,38.68,18.33,5.56,52.02,
AT,Austria,2013,998.03,443.88,191.78,66.24,249.7,27.19,45.93,36.12,17.0,5.53,50.55,
AT,Austria,2014,957.32,418.17,179.18,61.62,249.29,26.37,47.5,38.55,16.06,5.39,46.63,
AT,Austria,2015,990.02,435.61,181.75,62.7,243.29,24.52,46.65,41.73,16.59,6.04,54.5,
AT,Austria,2016,939.7,397.43,167.54,54.93,237.19,24.99,46.6,39.0,15.99,5.7,51.83,
AT,Austria,2017,952.19,388.53,163.48,55.49,234.32,24.76,45.07,36.62,14.93,5.63,62.32,
AT,Austria,2018,,376.99,158.78,52.47,234.02,23.51,46.33,35.17,14.22,6.15,64.02,
AT,Austria,2019,,362.89,150.21,53.19,229.64,23.29,44.95,29.84,14.29,5.6,59.79,
AT,Austria,2020,,360.98,148.9,52.21,230.54,23.39,44.71,31.26,14.97,6.18,53.87,
AT,Austria,2021,,343.27,136.25,49.54,224.73,22.06,44.51,35.62,14.98,6.81,44.09,
AT,Austria,2022,988.92,346.61,139.48,48.6,226.08,21.13,44.38,37.64,15.55,6.69,52.51,
AT,Austria,2023,938.97,333.44,130.42,45.98,221.18,21.81,43.68,35.42,14.82,6.9,57.66,
BE,Belgium,1994,,517.5,154.7,130.8,344.8,41.8,,21.0,14.2,2.9,123.8,
BE,Belgium,1995,,511.7,155.9,125.0,344.4,40.1,,21.4,13.9,2.1,132.2,
BE,Belgium,1996,,505.6,153.1,125.0,333.4,39.6,,20.5,13.8,2.6,138.4,
BE,Belgium,1997,,484.7,148.3,121.8,333.1,38.7,,21.3,15.1,2.2,136.4,
BE,Belgium,1998,,475.1,163.4,110.0,324.9,37.9,73.6,20.7,14.2,3.4,150.2,
BE,Belgium,1999,,462.2,151.2,106.4,314.8,37.5,69.9,29.7,13.6,2.9,144.4,
BE,Belgium,2003,,446.9,143.5,100.9,288.8,32.6,67.2,19.6,11.7,3.0,154.4,
BE,Belgium,2004,,419.7,136.2,95.5,282.7,32.2,65.6,19.4,11.7,3.1,133.6,
BE,Belgium,2005,,400.6,129.2,89.8,283.2,32.7,68.2,19.4,11.7,3.2,140.9,
BE,Belgium,2006,,367.0,112.7,82.9,277.1,31.7,67.7,17.6,11.5,2.9,123.5,
BE,Belgium,2007,,356.7,109.2,79.2,276.2,31.3,66.3,17.3,11.6,3.2,121.8,
BE,Belgium,2008,,345.7,102.4,78.2,277.9,30.9,67.2,18.1,12.3,3.6,119.1,
BE,Belgium,2009,,330.1,96.5,74.3,271.6,30.9,65.1,17.9,11.9,3.6,114.2,
BE,Belgium,2010,,317.1,91.6,69.9,270.1,29.0,66.8,16.0,11.2,3.3,107.3,
BE,Belgium,2011,1027.36,313.04,85.22,69.28,267.88,29.03,65.59,15.82,11.24,3.36,105.54,
BE,Belgium,2012,1056.41,310.76,82.92,68.62,260.41,29.08,60.94,16.64,12.31,3.99,111.89,
BE,Belgium,2013,1035.24,301.31,78.46,66.34,259.57,27.75,61.9,15.33,11.38,4.08,109.21,
BE,Belgium,2014,970.8,281.99,72.4,63.36,252.64,26.06,61.55,14.4,11.77,3.52,95.72,
BE,Belgium,2015,1001.94,287.49,72.25,62.39,249.72,26.19,58.29,13.74,12.29,3.76,108.87,
BE,Belgium,2016,960.71,268.87,66.89,60.34,246.54,25.15,57.84,12.9,11.8,3.5,100.56,
BE,Belgium,2017,955.7,260.59,64.97,57.79,238.49,25.36,52.54,13.39,11.28,3.85,107.5,
BE,Belgium,2018,,237.8,60.91,55.86,231.03,23.01,52.52,13.01,11.95,3.42,111.86,
BE,Belgium,2019,,228.99,56.34,51.86,229.29,22.75,51.7,12.4,11.32,3.26,102.81,
BE,Belgium,2020,,217.88,51.98,48.65,223.18,21.57,49.44,12.59,11.3,3.68,86.76,
BE,Belgium,2021,,216.99,51.73,48.03,220.09,20.55,49.31,11.35,11.31,3.25,75.94,
BE,Belgium,2022,938.43,221.55,51.68,48.59,218.24,20.78,49.17,11.08,12.29,3.58,94.23,
BE,Belgium,2023,881.8,209.6,47.98,45.35,216.1,20.31,47.78,10.66,11.5,3.31,95.69,
BG,Bulgaria,1995,,1374.0,437.1,401.0,230.4,30.8,44.3,34.1,25.7,1.9,91.1,
BG,Bulgaria,1996,,1440.8,424.4,399.8,231.5,34.3,43.2,33.4,24.1,1.1,97.5,
BG,Bulgaria,1997,,1585.5,457.2,410.5,229.9,32.8,41.1,35.3,23.5,1.1,101.3,
BG,Bulgaria,1998,,1551.7,436.8,410.0,226.5,33.0,40.1,31.6,22.9,1.4,87.8,
BG,Bulgaria,1999,,1395.5,392.5,375.4,226.6,32.1,41.1,29.7,20.1,1.1,77.3,
BG,Bulgaria,2000,,1418.0,365.0,385.1,218.1,32.8,39.0,32.1,20.8,1.1,78.7,
BG,Bulgaria,2001,,1354.9,357.1,365.4,219.7,32.0,39.3,29.8,20.8,1.1,62.2,
BG,Bulgaria,2002,,1378.5,367.6,377.9,223.9,32.2,40.6,28.9,19.7,0.8,55.2,
BG,Bulgaria,2003,,1357.1,342.7,367.2,220.7,31.4,41.4,29.4,17.6,0.8,58.6,
BG,Bulgaria,2004,,1301.3,316.5,347.5,226.9,31.5,42.0,28.6,19.4,1.0,53.1,
BG,Bulgaria,2005,,1288.4,298.8,377.3,249.7,36.4,47.0,27.7,21.9,0.7,72.7,
BG,Bulgaria,2006,,1256.9,267.9,378.8,244.4,34.7,44.4,31.8,20.1,0.5,66.8,
BG,Bulgaria,2007,,1226.1,244.6,378.3,247.4,36.9,45.4,30.7,22.2,0.3,71.3,
BG,Bulgaria,2008,,1163.7,227.9,361.9,249.4,36.6,46.2,31.0,23.1,0.4,69.7,
BG,Bulgaria,2009,,1137.7,207.6,337.0,233.6,34.6,43.2,28.2,21.1,0.4,62.2,
BG,Bulgaria,2010,,1176.0,206.4,345.9,226.9,34.5,43.4,25.1,19.0,0.4,61.4,
BG,Bulgaria,2011,1693.99,1184.95,202.24,328.02,229.22,32.22,44.01,22.78,19.26,0.23,61.48,
BG,Bulgaria,2012,1714.27,1172.27,224.39,351.04,248.77,35.68,47.2,24.24,21.97,0.29,62.0,
BG,Bulgaria,2013,1604.92,1087.01,199.82,324.86,246.22,35.52,47.67,19.79,20.99,0.17,54.05,
BG,Bulgaria,2014,1648.69,1132.16,195.79,352.93,242.76,34.87,45.58,20.93,20.71,0.34,58.33,
BG,Bulgaria,2015,1660.22,1133.08,201.31,332.9,241.92,34.14,44.78,25.14,22.62,0.41,60.4,
BG,Bulgaria,2016,1601.88,1094.91,188.31,303.83,232.05,33.38,43.78,22.63,23.37,0.34,64.99,
BG,Bulgaria,2017,1621.74,1107.96,193.67,311.29,232.44,33.22,43.69,21.14,22.75,0.27,67.29,
BG,Bulgaria,2018,,1075.93,180.28,314.06,232.54,33.21,43.33,23.09,22.57,0.44,70.84,
BG,Bulgaria,2019,,1051.87,194.51,311.1,242.23,36.54,44.93,20.82,24.99,0.44,60.22,
BG,Bulgaria,2020,,1119.67,224.71,329.24,245.33,35.95,44.83,24.12,24.16,0.65,84.05,
BG,Bulgaria,2021,,1210.96,238.95,353.89,229.41,34.89,42.28,24.32,24.96,0.57,95.66,
BG,Bulgaria,2022,1716.32,1074.26,200.63,301.2,217.26,33.67,37.71,17.25,25.54,0.24,79.65,
BG,Bulgaria,2023,1455.33,923.07,182.22,269.14,221.3,33.48,40.88,19.05,25.85,0.38,69.89,
CY,Cyprus,2004,,481.1,145.1,96.5,208.4,20.6,34.3,83.8,9.4,0.5,88.9,
CY,Cyprus,2005,,510.7,154.1,104.3,206.4,15.5,35.4,80.0,9.9,0.2,90.9,
CY,Cyprus,2006,,473.0,149.6,116.0,200.7,19.1,30.5,76.5,8.0,0.6,81.7,
CY,Cyprus,2007,,458.4,160.2,89.7,207.9,23.4,30.0,74.9,7.4,0.8,90.2,
CY,Cyprus,2008,,429.0,133.9,88.1,211.0,16.7,32.3,69.7,7.6,0.7,78.1,
CY,Cyprus,2009,,406.5,129.6,80.7,208.9,17.5,38.8,62.3,6.8,0.8,83.9,
CY,Cyprus,2010,,386.5,114.1,78.2,197.1,17.3,32.3,62.9,8.9,0.4,73.9,
